iter	MultiClass
0	1.451084898
1	1.333259528
2	1.245738422
3	1.163983002
4	1.100740549
5	1.041357451
6	0.9942966517
7	0.9559362545
8	0.9221701427
9	0.8836840342
10	0.8537558045
11	0.82504897
12	0.8040248755
13	0.7786218149
14	0.7568002338
15	0.7405119964
16	0.7228842162
17	0.7079940902
18	0.6921638223
19	0.6783594489
20	0.6666782588
21	0.6545540645
22	0.6444974363
23	0.6336461637
24	0.6265716805
25	0.618632558
26	0.6103908425
27	0.6030958694
28	0.5960781525
29	0.5908905264
30	0.584528727
31	0.5805733051
32	0.5746598126
33	0.5691435924
34	0.5650431746
35	0.5620453017
36	0.5595660507
37	0.5572182389
38	0.5548267738
39	0.5506872608
40	0.5488899011
41	0.5463032957
42	0.5436075262
43	0.5398429001
44	0.5366112087
45	0.5350036943
46	0.5318039282
47	0.5306519296
48	0.5293200291
49	0.5280182195
50	0.5276473866
51	0.52461691
52	0.5224439483
53	0.5208273746
54	0.5197879162
55	0.5174536031
56	0.5167330048
57	0.5141641656
58	0.513054473
59	0.5117053912
60	0.5109739853
61	0.510580186
62	0.5084729384
63	0.5078979759
64	0.5070282266
65	0.5060879114
66	0.5053093775
67	0.5045337029
68	0.5034691201
69	0.5022836573
70	0.5006843525
71	0.5001510528
72	0.4993723006
73	0.4989465849
74	0.498673791
75	0.4982868167
76	0.4977887364
77	0.4972347036
78	0.496809215
79	0.4959328046
80	0.4952426424
81	0.4943780326
82	0.4939034693
83	0.4928943532
84	0.49254846
85	0.492294502
86	0.4919812028
87	0.4911639036
88	0.4906513307
89	0.4902140014
90	0.4890091578
91	0.4887953761
92	0.4884369648
93	0.4880222084
94	0.4875233206
95	0.48701011
96	0.4865866193
97	0.4859575252
98	0.4855629905
99	0.4846290218
100	0.4840087041
101	0.4835049951
102	0.4830039665
103	0.4824257145
104	0.4821325884
105	0.4818551384
106	0.4815599987
107	0.4806542643
108	0.480201437
109	0.4797153715
110	0.4789136413
111	0.4785247789
112	0.4780197408
113	0.476767012
114	0.4765060395
115	0.4762521517
116	0.4759336139
117	0.4754876731
118	0.4748787684
119	0.4743975743
120	0.4741087059
121	0.4738302765
122	0.4735748345
123	0.4728827155
124	0.4726064391
125	0.4723069249
126	0.4716116196
127	0.4711023033
128	0.4708134265
129	0.4705654007
130	0.4703105213
131	0.4697830424
132	0.4693410073
133	0.4690557203
134	0.4687001224
135	0.4684902553
136	0.4681879332
137	0.4677830394
138	0.4674116507
139	0.4671292999
140	0.4667818528
141	0.4662630347
142	0.4658020505
143	0.4655534583
144	0.4651998131
145	0.4647377083
146	0.4643969556
147	0.4641901942
148	0.4632068446
149	0.4628191376
150	0.4624855253
151	0.4623289215
152	0.4621075572
153	0.4616764695
154	0.4614029291
155	0.4611738095
156	0.4608867577
157	0.4605947161
158	0.4602920133
159	0.459863732
160	0.4589908373
161	0.4587165451
162	0.4584577082
163	0.4583225032
164	0.4580867601
165	0.45791224
166	0.457706336
167	0.4573432542
168	0.4562003439
169	0.4558925064
170	0.4555704603
171	0.4553397602
172	0.4551477496
173	0.4548918137
174	0.4545433465
175	0.4543446676
176	0.4541339277
177	0.4536420411
178	0.4533459773
179	0.4531634461
180	0.4529604449
181	0.4522477975
182	0.4519415724
183	0.451699187
184	0.4513452946
185	0.4510696966
186	0.4508222144
187	0.4505398134
188	0.4502417966
189	0.4499289763
190	0.4496436696
191	0.4492070221
192	0.4490482142
193	0.4487898739
194	0.4484429091
195	0.4481429086
196	0.4479205168
197	0.4476713277
198	0.4473616955
199	0.4471343226
200	0.446922408
201	0.4466082916
202	0.4460617873
203	0.4458059204
204	0.4455037626
205	0.4452194389
206	0.4448989649
207	0.4447070745
208	0.4444491668
209	0.4442375137
210	0.4440705507
211	0.4438226032
212	0.4435376144
213	0.4432632114
214	0.4430675902
215	0.4428279648
216	0.4424918316
217	0.4422537415
218	0.4420068159
219	0.4417617231
220	0.4414875458
221	0.4411663311
222	0.4410200798
223	0.4408428888
224	0.4406408029
225	0.4404583866
226	0.4401185844
227	0.4399317925
228	0.439692962
229	0.4395090315
230	0.4392853312
231	0.4389975957
232	0.4388637973
233	0.438474138
234	0.4381651473
235	0.4378718823
236	0.43763452
237	0.4373224525
238	0.4370611813
239	0.4368034988
240	0.4365944225
241	0.4362451964
242	0.4359632784
243	0.4356948414
244	0.4355421723
245	0.4351197474
246	0.4348547982
247	0.4345739931
248	0.4344314311
249	0.4342335718
250	0.4340154952
251	0.4337923851
252	0.4336038419
253	0.4334306718
254	0.433255001
255	0.4330494789
256	0.4328121756
257	0.4326222336
258	0.4323099487
259	0.431656606
260	0.4313855448
261	0.4312395849
262	0.4307338555
263	0.4302876115
264	0.4300313189
265	0.4297796928
266	0.4296669773
267	0.4293878691
268	0.4291370303
269	0.4288975772
270	0.4286254873
271	0.4284941835
272	0.4282494797
273	0.4280091986
274	0.4277683981
275	0.4276848656
276	0.4273292146
277	0.4270843418
278	0.4267846961
279	0.4266210691
280	0.4262219575
281	0.4260225311
282	0.4257811841
283	0.4254636981
284	0.425332792
285	0.4252109966
286	0.4249971186
287	0.4247917449
288	0.4245732838
289	0.4243789209
290	0.4241215962
291	0.4238009262
292	0.4235456101
293	0.4233818218
294	0.4231369828
295	0.4229337516
296	0.4227837014
297	0.422552269
298	0.4223770383
299	0.4221713955
300	0.4219084446
301	0.4217431618
302	0.4215772608
303	0.4213436443
304	0.4210939141
305	0.4208031994
306	0.4206601617
307	0.4204080009
308	0.4201332918
309	0.4197982491
310	0.4196126391
311	0.4193739835
312	0.4191735467
313	0.4190227069
314	0.4189298584
315	0.418778872
316	0.4186843037
317	0.4182648179
318	0.4180619141
319	0.4179203271
320	0.4177243094
321	0.4174586122
322	0.4171501883
323	0.4169347546
324	0.4167422401
325	0.4165844993
326	0.4163829141
327	0.4161269804
328	0.4159027456
329	0.4155181744
330	0.415325602
331	0.4150180644
332	0.4148851393
333	0.4147492617
334	0.414526361
335	0.4143522983
336	0.4141160647
337	0.4138524768
338	0.4136486893
339	0.4133562659
340	0.4132171705
341	0.4129390287
342	0.4127191038
343	0.4125268354
344	0.4122680696
345	0.4119198067
346	0.4117058759
347	0.4115449843
348	0.4113940152
349	0.4111462269
350	0.4110491414
351	0.4109458779
