iter	Passed	Remaining
0	26	26643
1	42	21366
2	57	19269
3	74	18452
4	92	18348
5	109	18130
6	125	17795
7	141	17534
8	157	17357
9	175	17400
10	192	17344
11	211	17405
12	227	17291
13	246	17364
14	265	17431
15	283	17424
16	300	17352
17	318	17359
18	337	17403
19	354	17352
20	371	17322
21	390	17342
22	409	17375
23	427	17364
24	445	17386
25	464	17401
26	481	17360
27	507	17622
28	530	17763
29	555	17949
30	581	18167
31	606	18341
32	632	18542
33	660	18759
34	688	18992
35	715	19150
36	742	19333
37	769	19483
38	796	19626
39	827	19869
40	856	20042
41	883	20153
42	912	20300
43	935	20329
44	961	20409
45	984	20424
46	1011	20504
47	1040	20628
48	1067	20725
49	1094	20794
50	1112	20693
51	1132	20638
52	1151	20581
53	1171	20521
54	1190	20449
55	1208	20373
56	1227	20301
57	1247	20265
58	1268	20231
59	1288	20181
60	1304	20084
61	1322	20001
62	1340	19935
63	1360	19893
64	1378	19827
65	1396	19760
66	1414	19695
67	1431	19619
68	1448	19539
69	1467	19491
70	1485	19437
71	1503	19376
72	1521	19319
73	1539	19263
74	1557	19210
75	1576	19167
76	1594	19117
77	1612	19058
78	1633	19041
79	1651	18992
80	1668	18931
81	1686	18879
82	1704	18826
83	1723	18791
84	1740	18735
85	1757	18678
86	1775	18635
87	1794	18601
88	1813	18565
89	1832	18528
90	1851	18491
91	1867	18432
92	1885	18387
93	1902	18340
94	1921	18305
95	1941	18283
96	1959	18238
97	1977	18201
98	1995	18162
99	2013	18118
100	2030	18074
101	2049	18044
102	2068	18016
103	2087	17981
104	2105	17950
105	2122	17901
106	2141	17870
107	2160	17842
108	2178	17810
109	2196	17768
110	2215	17742
111	2234	17718
112	2253	17692
113	2271	17653
114	2289	17615
115	2305	17572
116	2323	17533
117	2341	17501
118	2361	17481
119	2379	17451
120	2399	17432
121	2416	17392
122	2434	17355
123	2451	17320
124	2470	17290
125	2487	17256
126	2507	17236
127	2526	17209
128	2544	17178
129	2561	17143
130	2579	17109
131	2596	17077
132	2615	17047
133	2635	17033
134	2654	17008
135	2671	16969
136	2688	16936
137	2706	16906
138	2725	16879
139	2742	16846
140	2758	16803
141	2777	16785
142	2796	16758
143	2812	16721
144	2830	16691
145	2848	16659
146	2865	16630
147	2882	16592
148	2901	16570
149	2918	16538
150	2936	16512
151	2952	16474
152	2969	16437
153	2987	16409
154	3004	16378
155	3021	16349
156	3039	16317
157	3056	16288
158	3074	16261
159	3091	16232
160	3111	16215
161	3128	16181
162	3146	16155
163	3161	16114
164	3178	16085
165	3195	16052
166	3211	16019
167	3231	16003
168	3252	15991
169	3273	15980
170	3291	15955
171	3307	15920
172	3324	15892
173	3341	15862
174	3360	15843
175	3377	15811
176	3396	15791
177	3413	15764
178	3432	15742
179	3448	15711
180	3465	15681
181	3482	15654
182	3501	15632
183	3518	15603
184	3535	15575
185	3553	15552
186	3570	15522
187	3588	15497
188	3606	15475
189	3624	15452
190	3644	15436
191	3662	15412
192	3678	15379
193	3696	15358
194	3714	15332
195	3731	15308
196	3749	15283
197	3767	15259
198	3784	15235
199	3803	15213
200	3819	15183
201	3838	15163
202	3856	15140
203	3874	15118
204	3893	15100
205	3910	15073
206	3930	15056
207	3947	15031
208	3964	15005
209	3983	14983
210	3999	14955
211	4017	14932
212	4035	14911
213	4053	14887
214	4070	14862
215	4088	14838
216	4106	14817
217	4124	14794
218	4143	14778
219	4161	14755
220	4179	14733
221	4197	14711
222	4217	14694
223	4236	14676
224	4254	14655
225	4271	14630
226	4289	14607
227	4307	14584
228	4325	14564
229	4342	14538
230	4359	14513
231	4377	14490
232	4395	14468
233	4413	14448
234	4430	14424
235	4447	14396
236	4463	14369
237	4481	14347
238	4497	14321
239	4515	14297
240	4531	14272
241	4549	14249
242	4568	14230
243	4592	14229
244	4613	14215
245	4636	14210
246	4664	14220
247	4686	14211
248	4710	14206
249	4732	14196
250	4754	14187
251	4776	14177
252	4796	14161
253	4816	14145
254	4836	14128
255	4857	14117
256	4878	14104
257	4901	14097
258	4926	14094
259	4949	14086
260	4970	14072
261	4987	14048
262	5006	14028
263	5024	14007
264	5044	13991
265	5062	13969
266	5078	13941
267	5096	13919
268	5114	13897
269	5132	13877
270	5151	13857
271	5169	13835
272	5187	13815
273	5205	13792
274	5223	13771
275	5242	13751
276	5260	13730
277	5277	13706
278	5295	13684
279	5312	13660
280	5331	13641
281	5349	13620
282	5366	13597
283	5385	13577
284	5402	13553
285	5420	13532
286	5437	13509
287	5457	13491
288	5474	13468
289	5491	13444
290	5509	13424
291	5528	13404
292	5547	13385
293	5563	13360
294	5581	13338
295	5599	13316
296	5615	13291
297	5633	13271
298	5650	13247
299	5671	13234
300	5688	13210
301	5706	13188
302	5723	13165
303	5742	13147
304	5760	13127
305	5780	13109
306	5797	13086
307	5817	13069
308	5835	13050
309	5854	13031
310	5873	13011
311	5894	12997
312	5914	12981
313	5933	12962
314	5952	12943
315	5972	12927
316	5992	12911
317	6019	12909
318	6041	12898
319	6066	12890
320	6091	12885
321	6118	12882
322	6147	12885
323	6173	12880
324	6196	12870
325	6228	12876
326	6255	12875
327	6282	12871
328	6309	12868
329	6338	12869
330	6368	12871
331	6400	12879
332	6430	12880
333	6459	12879
334	6480	12863
335	6500	12846
336	6519	12825
337	6538	12806
338	6555	12781
339	6573	12761
340	6591	12739
341	6611	12720
342	6629	12698
343	6647	12677
344	6665	12655
345	6686	12638
346	6704	12616
347	6721	12593
348	6739	12570
349	6756	12548
350	6773	12524
351	6789	12499
352	6807	12476
353	6824	12453
354	6841	12430
355	6858	12407
356	6876	12385
357	6892	12361
358	6908	12336
359	6925	12312
360	6943	12291
361	6961	12269
